game_id,na_sales_in_millions,pal_sales_in_millions,japan_sales_in_millions,other_sales_in_millions,global_sales_in_millions,total_shipped_in_millions
295,0.66,0.48,0.01,0.06,1.21,
296,0.59,0.46,,0.15,1.2,
297,0.38,0.59,0.05,0.19,1.2,
298,,,,,,1.2
299,,,,,,1.2
300,,,,,,1.2
301,,,,,,1.2
302,,,,,,1.2
303,0.72,0.43,0.01,0.04,1.2,
304,,,,,,1.2
305,0.92,0.23,,0.04,1.19,
306,0.38,0.35,0.38,0.09,1.19,
307,0.76,0.38,,0.05,1.19,
308,0.86,0.27,0.01,0.04,1.19,
309,0.48,0.5,,0.2,1.18,
310,0.52,0.47,,0.19,1.18,
311,0.41,0.56,0.02,0.19,1.18,
312,0.47,0.45,0.06,0.19,1.18,
313,0.74,0.38,0.02,0.03,1.17,
314,0.64,0.42,0.0,0.1,1.16,
315,0.83,0.28,,0.05,1.16,
316,0.56,0.44,,0.15,1.15,
317,1.07,0.07,,0.01,1.15,
318,,,1.15,0.0,1.15,
319,,,,,,1.15
320,,,,,,1.15
321,0.75,0.29,,0.11,1.15,
322,0.61,0.44,,0.1,1.15,
323,0.61,0.44,,0.09,1.14,
324,0.64,0.43,,0.07,1.14,
325,0.44,0.34,0.25,0.11,1.14,
326,,,,,,1.14
327,,,,,,1.14
328,0.71,0.38,,0.05,1.14,
329,0.82,0.3,,0.02,1.14,
330,,,,,,1.13
331,0.82,0.26,,0.04,1.12,
332,0.63,0.37,0.0,0.11,1.11,
333,0.33,0.6,0.0,0.18,1.11,
334,0.5,0.37,0.1,0.15,1.11,
335,0.68,0.38,,0.05,1.11,
336,0.61,0.38,0.02,0.1,1.11,
337,0.52,0.44,,0.14,1.11,
338,0.62,0.38,,0.1,1.1,
339,,,,,,1.1
340,,,,,,1.1
341,,,,,,1.1
342,0.51,0.41,,0.17,1.09,
343,0.53,0.42,0.03,0.11,1.09,
344,0.43,0.41,,0.24,1.09,
345,0.89,0.03,0.01,0.15,1.09,
346,0.64,0.28,0.04,0.12,1.08,
347,,,,,,1.08
348,,,,,,1.08
349,0.77,0.29,,0.02,1.08,
350,0.96,0.03,,0.08,1.07,
351,0.52,0.41,,0.14,1.06,
352,0.67,0.28,0.01,0.1,1.06,
353,0.42,0.5,0.04,0.08,1.05,
354,0.31,0.49,0.09,0.15,1.05,
355,0.66,0.28,,0.1,1.05,
356,,,,,,1.05
357,0.54,0.4,,0.1,1.04,
358,,,,,,1.04
359,0.46,0.47,,0.11,1.03,
360,,,,,,1.03
361,,,,,,1.03
362,0.96,0.07,,,1.03,
363,0.36,0.49,,0.17,1.02,
364,0.57,0.39,,0.07,1.02,
365,0.59,0.34,,0.09,1.02,
366,0.31,0.53,0.01,0.16,1.01,
367,0.51,0.41,,0.09,1.01,
368,0.51,0.41,,0.09,1.01,
369,,,,,,1.01
370,,,,,,1.0
371,,,,,,1.0
372,,,,,,1.0
373,,,,,,1.0
374,,,,,,1.0
375,,,,,,1.0
376,,,,,,1.0
377,,,,,,1.0
378,,,,,,1.0
379,0.13,0.1,0.74,0.03,1.0,
380,,,,,,0.99
381,0.3,0.23,0.38,0.08,0.99,
382,,,,,,0.99
383,,,,,,0.98
384,0.53,0.37,,0.09,0.98,
385,0.62,0.26,,0.09,0.97,
386,0.78,0.03,0.03,0.13,0.97,
387,0.53,0.34,,0.1,0.97,
388,0.0,0.93,,0.04,0.97,
389,0.75,0.19,,0.03,0.97,
390,0.36,0.44,,0.16,0.96,
391,0.36,0.28,0.22,0.09,0.96,
392,0.36,0.45,,0.15,0.95,
393,,,,,,0.95
394,0.65,0.22,,0.09,0.95,
395,,,,,,0.95
396,0.37,0.42,,0.16,0.94,
397,,,,,,0.94
398,0.39,0.4,,0.15,0.94,
399,0.54,0.27,,0.13,0.94,
400,0.46,0.36,,0.12,0.94,
401,0.48,0.37,,0.08,0.94,
402,0.75,0.03,0.04,0.12,0.94,
403,0.87,0.05,,0.01,0.93,
404,0.51,0.25,0.09,0.08,0.93,
405,0.67,0.25,,0.02,0.93,
406,0.67,0.17,,0.09,0.93,
407,0.45,0.35,,0.12,0.92,
408,0.63,0.2,0.02,0.08,0.92,
409,0.55,0.21,,0.16,0.92,
410,0.25,0.14,0.46,0.06,0.91,
411,0.34,0.47,,0.1,0.91,
412,0.32,0.43,,0.15,0.9,
413,0.5,0.34,,0.06,0.9,
414,0.74,,,0.15,0.89,
415,0.4,0.33,0.02,0.15,0.89,
416,0.69,0.18,,0.02,0.89,
417,0.3,0.23,0.3,0.05,0.89,
418,0.27,0.48,,0.14,0.89,
419,0.42,0.32,,0.15,0.89,
420,0.5,0.29,0.0,0.09,0.88,
421,0.43,0.34,,0.11,0.88,
422,0.07,0.68,,0.13,0.88,
423,0.49,0.31,,0.08,0.87,
424,0.01,0.8,,0.06,0.87,
425,0.11,0.09,0.64,0.03,0.87,
426,0.59,0.21,,0.07,0.87,
427,0.57,0.21,,0.08,0.87,
428,0.47,0.31,,0.08,0.86,
429,,,,,,0.86
430,0.17,0.13,0.51,0.04,0.86,
431,0.12,0.63,,0.11,0.85,
432,0.47,0.32,,0.06,0.85,
433,0.28,0.41,0.03,0.13,0.85,
434,0.52,0.16,0.08,0.1,0.85,
435,0.31,0.4,,0.14,0.85,
436,0.47,0.32,,0.06,0.85,
437,0.35,0.39,0.04,0.07,0.85,
438,0.34,0.36,,0.14,0.84,
439,0.65,0.17,,0.02,0.84,
440,0.65,0.17,,0.02,0.84,
441,0.34,0.36,,0.14,0.84,
442,0.35,0.37,0.05,0.07,0.84,
443,0.09,0.0,,0.74,0.84,
444,,,,,,0.83
445,0.24,0.19,0.34,0.06,0.83,
446,0.49,0.25,0.02,0.07,0.83,
447,0.6,0.22,,0.01,0.83,
448,0.67,0.07,,0.09,0.83,
449,0.76,0.05,,0.01,0.82,
450,0.24,0.29,0.19,0.1,0.81,
451,,,,,,0.81
452,,,,,,0.81
453,0.21,0.14,0.39,0.07,0.81,
454,0.26,0.41,,0.13,0.81,
455,0.72,0.03,,0.06,0.81,
456,0.52,0.21,,0.07,0.8,
457,0.43,0.3,,0.07,0.8,
458,0.74,0.04,,0.01,0.79,
459,0.14,0.52,0.02,0.12,0.79,
460,0.48,0.24,,0.06,0.79,
461,,,,,,0.79
462,0.45,0.24,0.02,0.07,0.78,
463,0.44,0.27,,0.07,0.78,
464,0.53,0.19,,0.06,0.78,
465,0.67,0.04,0.01,0.06,0.78,
466,0.61,0.11,,0.06,0.78,
467,0.24,0.36,0.06,0.11,0.78,
468,0.38,0.28,,0.11,0.77,
469,0.72,0.04,,0.01,0.77,
470,0.34,0.35,,0.08,0.77,
471,0.72,0.04,,0.01,0.77,
472,0.6,0.09,,0.08,0.77,
473,0.55,0.2,,0.01,0.77,
474,0.71,0.0,,0.06,0.77,
475,0.31,0.36,0.03,0.06,0.76,
476,0.14,0.32,0.22,0.09,0.76,
477,0.64,0.02,,0.1,0.76,
478,0.41,0.27,,0.07,0.76,
479,0.16,0.49,,0.11,0.76,
480,0.28,0.4,,0.08,0.76,
481,0.57,0.02,0.07,0.09,0.76,
482,0.42,0.25,0.02,0.07,0.76,
483,0.18,0.38,0.06,0.14,0.75,
484,,,,,,0.75
485,0.37,0.29,,0.1,0.75,
486,0.38,0.26,,0.11,0.75,
487,0.3,0.16,0.22,0.07,0.74,
488,0.31,0.31,,0.12,0.74,
489,0.41,0.25,,0.08,0.74,
490,0.53,0.2,,0.01,0.74,
491,0.17,0.41,,0.15,0.73,
492,,,,,,0.73
493,0.52,0.19,,0.01,0.73,
494,0.36,0.29,,0.07,0.72,
495,0.52,0.19,,0.01,0.72,
496,0.6,0.02,,0.1,0.72,
497,0.27,0.14,0.27,0.04,0.72,
498,,,,,,0.72
499,0.23,0.31,,0.18,0.72,
500,0.47,0.18,,0.07,0.72,
501,0.32,0.32,,0.07,0.72,
502,,,,,,0.72
503,0.4,0.27,,0.05,0.72,
504,0.45,0.24,,0.03,0.71,
505,,,,,,0.71
506,0.51,0.19,,0.01,0.71,
507,0.35,0.27,,0.09,0.71,
508,0.39,0.09,0.17,0.06,0.71,
509,0.18,0.07,0.41,0.04,0.71,
510,,,,,,0.7
511,0.35,0.21,,0.14,0.7,
512,,,,,,0.7
513,0.52,0.16,,0.02,0.7,
514,0.5,0.19,,0.01,0.7,
515,,,,,,0.7
516,0.18,0.37,0.02,0.12,0.7,
517,0.28,0.3,,0.12,0.7,
518,0.42,0.22,,0.06,0.7,
519,0.34,0.27,,0.09,0.7,
520,0.65,0.04,,0.01,0.69,
521,0.26,0.01,0.26,0.17,0.69,
522,0.58,0.02,,0.09,0.69,
523,,,,,,0.69
524,0.19,0.36,0.01,0.12,0.69,
525,0.42,0.21,,0.06,0.69,
526,0.53,0.14,,0.02,0.69,
527,0.54,0.09,,0.06,0.69,
528,0.49,0.18,,0.01,0.68,
529,0.38,0.26,,0.04,0.68,
530,0.32,0.25,,0.11,0.68,
531,0.54,0.11,,0.03,0.68,
532,0.35,0.26,,0.07,0.68,
533,0.46,0.17,,0.05,0.68,
534,0.27,0.21,0.11,0.08,0.67,
535,0.38,0.22,0.01,0.06,0.67,
536,0.37,0.25,,0.04,0.67,
537,,,,,,0.67
538,0.31,0.29,0.01,0.06,0.67,
539,0.59,0.03,,0.05,0.67,
540,0.63,0.03,,0.01,0.67,
541,0.42,0.17,0.01,0.05,0.66,
542,0.48,0.16,,0.02,0.66,
543,,,,,,0.66
544,,0.21,0.42,0.03,0.66,
545,,,,,,0.66
546,0.62,0.04,,0.01,0.66,
547,0.06,0.03,0.55,0.01,0.66,
548,0.47,0.17,,0.01,0.66,
549,0.27,0.24,,0.14,0.66,
550,0.23,0.27,,0.16,0.65,
551,,,,,,0.65
552,0.6,0.04,,0.01,0.65,
553,0.37,0.22,,0.06,0.65,
554,0.13,0.07,,0.44,0.64,
555,0.15,0.39,0.01,0.1,0.64,
556,0.17,0.04,0.4,0.02,0.64,
557,0.56,0.04,,0.05,0.64,
558,0.31,0.24,,0.08,0.64,
559,0.26,0.21,0.07,0.1,0.64,
560,0.15,0.12,0.34,0.04,0.64,
561,0.25,0.25,,0.15,0.64,
562,0.35,0.24,,0.04,0.63,
563,0.55,0.03,,0.05,0.63,
564,0.46,0.09,,0.09,0.63,
565,0.37,0.2,,0.06,0.63,
566,0.35,0.21,0.01,0.06,0.63,
567,,,,,,0.63
568,0.29,0.28,,0.06,0.63,
569,,,,,,0.63
570,0.58,0.04,,0.01,0.63,
571,,,,,,0.63
572,0.34,0.23,,0.06,0.63,
573,0.43,0.14,,0.06,0.62,
574,0.38,0.22,,0.03,0.62,
575,,0.04,0.57,0.01,0.62,
576,0.3,0.23,,0.09,0.62,
577,0.38,0.1,0.12,0.02,0.62,
578,0.58,0.03,,0.01,0.62,
579,0.3,0.26,0.0,0.06,0.62,
580,0.2,0.34,0.0,0.07,0.62,
581,0.02,0.02,0.57,0.01,0.61,
582,,,,,,0.61
583,0.34,0.23,,0.04,0.61,
584,0.44,0.16,,0.01,0.61,
585,0.22,0.25,,0.14,0.61,
586,0.43,0.16,,0.01,0.61,
587,0.36,0.14,,0.11,0.6,
588,0.5,0.02,,0.08,0.6,
589,,,,,,0.6
590,0.06,0.3,0.21,0.03,0.6,
591,0.51,0.04,,0.05,0.6,
592,,,,,,0.6
593,0.39,0.15,,0.05,0.59,
594,0.55,0.03,,0.01,0.59,
595,0.16,0.34,,0.09,0.59,
596,,,,,,0.59
597,0.33,0.22,,0.04,0.59,
598,0.3,0.22,,0.06,0.59,
599,0.24,0.28,,0.06,0.59,
600,0.33,0.2,,0.05,0.58,
601,0.29,0.22,,0.07,0.58,
602,0.5,0.03,,0.05,0.58,
603,0.18,0.34,,0.07,0.58,
604,0.22,0.26,0.01,0.09,0.58,
605,0.35,0.18,,0.05,0.58,
606,0.28,0.22,,0.07,0.58,
607,0.38,0.14,,0.05,0.58,
608,0.31,0.19,0.02,0.06,0.58,
609,0.52,0.02,,0.04,0.58,
610,0.32,0.22,,0.04,0.58,
611,0.5,0.03,,0.05,0.58,
612,0.16,0.32,,0.09,0.57,
613,,,0.57,,0.57,
614,0.21,0.23,,0.13,0.57,
615,0.14,0.25,0.11,0.07,0.57,
616,0.32,0.2,,0.05,0.57,
617,0.11,0.33,,0.13,0.57,
618,0.41,0.15,,0.01,0.57,
619,0.22,0.02,,0.33,0.57,
620,0.27,0.24,,0.06,0.57,
621,,,,,,0.57
622,,,0.57,,0.57,
623,0.37,0.14,,0.05,0.57,
624,0.11,0.08,0.35,0.03,0.57,
625,0.52,0.0,,0.04,0.57,
626,0.19,0.15,0.17,0.05,0.57,
627,0.31,0.21,,0.04,0.57,
628,0.29,0.2,0.03,0.05,0.57,
629,0.44,0.11,,0.02,0.56,
630,0.22,0.25,,0.09,0.56,
631,0.31,0.21,,0.04,0.56,
632,0.21,0.22,0.05,0.09,0.56,
633,0.39,0.09,0.07,0.01,0.56,
634,0.27,0.21,,0.07,0.56,
635,0.2,0.31,,0.04,0.56,
636,0.27,0.21,,0.07,0.56,
637,0.24,0.23,0.01,0.08,0.56,
638,0.29,0.17,0.04,0.05,0.56,
639,0.34,0.01,0.15,0.06,0.55,
640,0.42,0.11,,0.02,0.55,
641,0.31,0.21,,0.04,0.55,
642,0.21,0.16,0.12,0.05,0.55,
643,0.31,0.18,,0.06,0.55,
644,0.17,0.16,0.19,0.03,0.55,
645,,,0.55,0.0,0.55,
646,0.39,0.15,,0.01,0.55,
647,,,,,,0.55
648,,,,,,0.55
649,0.27,0.23,,0.05,0.55,
650,0.11,0.05,0.36,0.02,0.54,
651,0.36,0.0,,0.19,0.54,
652,0.3,0.19,0.0,0.05,0.54,
653,0.01,0.45,,0.07,0.54,
654,0.31,0.18,,0.05,0.54,
655,0.5,0.03,,0.01,0.54,
656,0.43,0.1,,0.01,0.54,
657,0.22,0.27,,0.05,0.54,
658,,,,,,0.54
659,0.25,0.23,,0.06,0.54,
660,,,,,,0.54
661,0.26,0.2,,0.07,0.54,
662,0.18,0.27,,0.09,0.53,
663,0.3,0.19,,0.05,0.53,
664,0.26,0.22,,0.05,0.53,
665,0.34,0.17,,0.02,0.53,
666,0.32,0.19,,0.01,0.53,
667,0.31,0.19,,0.03,0.53,
668,0.43,0.09,,0.01,0.53,
669,0.31,0.17,,0.05,0.53,
670,0.19,0.21,,0.13,0.53,
671,0.49,0.0,,0.04,0.53,
672,0.26,0.2,,0.07,0.53,
673,0.41,0.11,,0.01,0.53,
674,0.44,0.02,,0.07,0.53,
675,0.22,0.16,0.04,0.1,0.52,
676,0.18,0.14,0.16,0.05,0.52,
677,,,,,,0.52
678,,,,,,0.52
679,0.47,0.01,,0.04,0.52,
680,0.29,0.2,,0.03,0.52,
681,0.25,0.19,0.02,0.06,0.52,
682,0.18,0.08,0.22,0.04,0.52,
683,0.47,0.0,,0.04,0.52,
684,0.32,0.13,,0.07,0.52,
685,0.11,0.22,0.11,0.06,0.52,
686,0.13,0.1,0.25,0.03,0.51,
687,0.36,0.04,0.08,0.04,0.51,
688,0.27,0.19,,0.05,0.51,
689,0.35,0.12,,0.05,0.51,
690,0.21,0.26,,0.04,0.51,
691,0.17,0.24,,0.09,0.51,
692,0.18,0.0,0.3,0.02,0.51,
693,0.47,,,0.04,0.51,
694,0.22,0.14,0.1,0.04,0.51,
695,0.26,0.2,,0.05,0.51,
696,0.17,0.28,,0.06,0.5,
697,0.47,0.03,,0.01,0.5,
698,,,0.5,,0.5,
699,0.08,0.24,0.12,0.06,0.5,
700,0.19,0.23,,0.09,0.5,
701,0.25,0.19,,0.06,0.5,
702,0.24,0.18,,0.07,0.5,
703,0.25,0.19,,0.06,0.5,
704,0.4,0.09,,0.01,0.5,
705,,,,,,0.5
706,0.3,0.15,,0.05,0.5,
707,0.29,0.16,,0.05,0.5,
708,0.43,0.02,0.02,0.03,0.5,
709,0.24,0.19,,0.06,0.5,
710,0.26,0.15,0.05,0.04,0.5,
711,0.41,0.02,0.03,0.04,0.5,
712,0.41,0.02,,0.07,0.5,
713,0.41,0.01,,0.07,0.5,
714,0.31,0.1,0.05,0.04,0.5,
715,0.46,0.03,,0.01,0.5,
716,0.46,0.03,,0.01,0.5,
717,0.09,0.07,0.32,0.03,0.49,
718,0.3,0.12,0.03,0.04,0.49,
719,0.41,0.01,,0.07,0.49,
720,0.35,0.13,,0.01,0.49,
721,,,,,,0.49
722,,,,,,0.49
723,0.25,0.01,,0.22,0.49,
724,0.27,0.18,,0.03,0.49,
725,0.17,0.16,0.12,0.03,0.49,
726,,,,,,0.49
727,0.4,0.02,,0.07,0.48,
728,0.35,0.13,,0.01,0.48,
729,0.26,0.18,,0.04,0.48,
730,0.31,0.12,0.02,0.04,0.48,
731,0.24,0.2,,0.05,0.48,
732,0.23,0.16,,0.08,0.48,
733,0.2,0.21,,0.07,0.48,
734,0.42,0.02,,0.04,0.48,
735,,,,,,0.48
736,,,,,,0.48
737,0.29,0.09,0.03,0.08,0.48,
738,0.26,0.17,,0.04,0.48,
739,0.43,0.01,,0.03,0.48,
740,0.45,0.02,,0.01,0.47,
741,0.14,0.01,0.31,0.02,0.47,
742,0.39,0.02,,0.06,0.47,
743,0.2,0.23,0.0,0.05,0.47,
744,0.26,0.18,,0.03,0.47,
